['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-04T08_43_03.263Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-30T00_30_43.668Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-01T05_24_19.403Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-12T08_49_48.778Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-03T10_55_40.270Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-31T16_54_16.129Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-13T03_33_11.194Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-21T18_41_00.165Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-08T17_31_38.889Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-02T03_14_51.369Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-07T11_00_27.092Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-20T14_36_30.198Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-02T22_33_25.994Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-05T06_50_59.260Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-06T16_14_44.451Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-08T16_41_08.228Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-31T21_11_18.839Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-19T21_36_49.527Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-31T18_00_01.977Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-11T22_13_05.967Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-05T16_00_09.580Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-07T22_08_37.405Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-09T12_49_50.279Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-12T12_44_30.301Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-05T16_05_11.982Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-11T10_56_27.748Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-05T12_17_26.052Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-29T03_08_39.569Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-12T03_04_53.168Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-05T10_41_40.300Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-16T11_52_20.873Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-06T08_39_07.669Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-04T05_21_59.842Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-11T03_09_00.464Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-02T09_38_10.135Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-14T09_14_55.125Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-15T07_37_50.523Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-31T08_17_14.299Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-02T20_58_20.586Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-28T01_18_11.057Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-11T04_29_40.031Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-09T11_34_14.114Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-14T01_03_28.262Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-07T00_11_33.550Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-01T23_55_57.552Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-03T15_48_17.857Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-27T10_49_02.482Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-13T21_36_13.536Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-30T15_41_53.692Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-24T02_33_34.783Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
