['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-01T04_41_33.153Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T05_22_28.187Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-11-01T06_41_31.829Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-29T01_41_01.661Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-15T03_36_49.296Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-19T12_18_44.095Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-29T20_45_17.123Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-10T22_28_36.402Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-20T14_50_27.316Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-01T21_23_15.748Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-21T22_59_29.896Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-25T22_47_51.929Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-05T08_20_15.154Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-18T14_43_56.272Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-06T14_38_38.335Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T17_27_19.587Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-09T13_54_21.987Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-21T14_21_01.743Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-09T15_30_00.695Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-03T00_55_27.255Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-19T12_48_49.986Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-21T22_09_15.596Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-26T17_00_55.482Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-20T22_48_40.023Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-01T13_45_11.501Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-29T06_44_38.631Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-16T18_01_33.530Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-20T21_02_57.374Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
